bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
10,"critical","Highest","Windows","davebhakti16@gmail.com","NEW","---","it accepts order without making payment"
11,"critical","Highest","Windows","davebhakti16@gmail.com","NEW","---","it accepts wrong information"
12,"critical","Highest","Windows","davebhakti16@gmail.com","NEW","---","there isn't any payment option available"
4,"major","High","Windows","davebhakti16@gmail.com","NEW","---","when i click on any options in header it refreshes the site automatically and not opens any product"
5,"major","High","Windows","davebhakti16@gmail.com","NEW","---","when i click on any color shade it's not  opens exact shade which i selected"
6,"major","High","Windows","davebhakti16@gmail.com","NEW","---","when i update jacket color from green to pink it shows gray color instead of pink"
8,"critical","High","Windows","davebhakti16@gmail.com","NEW","---","When i add product into cart, its added without login"
9,"major","High","Windows","davebhakti16@gmail.com","NEW","---","when i want to update cart product its doesn't update the changes"
14,"critical","High","Windows","davebhakti16@gmail.com","NEW","---","there is no order option available"
15,"major","High","Windows","davebhakti16@gmail.com","NEW","---","updated order is not shown properly"
1,"normal","Normal","Windows","davebhakti16@gmail.com","NEW","---","when i click on women's top catagory it shows both tops and bottoms"
2,"normal","Normal","Windows","davebhakti16@gmail.com","NEW","---","when i click on men's top catagory it shows both tops and bottoms"
3,"normal","Normal","Windows","davebhakti16@gmail.com","NEW","---","when i click on bags only bags option should open there but instead of that it shows all 3 options togeather"
7,"normal","Normal","Windows","davebhakti16@gmail.com","NEW","---","there is no video found"
13,"minor","---","Windows","davebhakti16@gmail.com","NEW","---","eye option is not available in password"
